Model,SelectedThreshold,ValidationSharpe,ValidationReturn,ValidationTrades
AR5,0.0074,2.34808572165272,0.063807645822731,6
Ridge,0.0013,2.76089228305307,0.139616352507151,21
BaggedRegression,0.001,1.72818888304269,0.480611551479331,30
RandomForest,0.0024,1.825709256036,0.446045340061471,38
LSBoost,0.0063,0.811437077361154,0.121929982109327,65
