Rank,Model,ValidationRMSE,ValidationMAE,ValidationR2,TestRMSE,TestMAE,TestR2
1,AR(5),0.0293005845952401,0.0197763654836206,-0.0112903521232477,0.0423165234440759,0.030595697561991,-0.0655170315538487
2,Ridge Regression,0.0295164646889178,0.0202686892054948,-0.0262471672071396,0.0643128873947385,0.0506419765157692,-1.46114074893691
3,SVR,0.029633956272141,0.0202159465949358,-0.0344334716017682,0.0418612964022139,0.0302982984277585,-0.0427153875448507
4,Bagged Trees,0.0298433273810668,0.0209090066664711,-0.0491021562660152,0.0538289082363032,0.0413562587843191,-0.724136229358084
5,Linear Regression,0.0301960477835739,0.0213275482574074,-0.0740475313583422,0.107869060852318,0.0831454488743084,-5.92363604208425
6,LSTM,0.217619761824608,0.172241300344467,-54.7853240966797,0.301839530467987,0.249338299036026,-53.2116546630859
