Trading_Model,Trading_Return,Trading_Sharpe,Trading_MaxDD,Trading_WinRate,Trading_Trades,Trading_FinalCapital
AR(5),-0.00952178992661212,-0.0582659643023543,-0.071520487524559,0.4,18,9904.78210073388
AdaBoostM2,0.138009711180566,0.721166645252369,-0.423365247857202,0.461538461538462,80,11380.0971118057
Buy & Hold,4.43546251077888,4.82427459808247,-0.251748461971953,0.595505617977528,1,54354.6251077888
