Model,Threshold,ValidationAbsAboveThresholdPct,TestAbsAboveThresholdPct,ValidationBUYPct,TestBUYPct,ValidationSELLPct,TestSELLPct
AR5,0.0074,9.6045197740113,5.0561797752809,6.21468926553672,4.49438202247191,3.38983050847458,0.561797752808989
Ridge,0.0013,6.21468926553672,69.1011235955056,0,0,6.21468926553672,69.1011235955056
Bagged,0.001,96.6101694915254,98.876404494382,22.5988700564972,2.24719101123596,74.0112994350282,96.6292134831461
RF,0.0024,81.3559322033898,98.876404494382,16.9491525423729,0,64.4067796610169,98.876404494382
LSBoost,0.0063,54.2372881355932,74.7191011235955,6.21468926553672,3.93258426966292,48.0225988700565,70.7865168539326
