Model,ValidationAccuracyPct,ValidationMacroF1Pct,ValidationBalancedAccuracyPct,TestAccuracyPct,TestMacroF1Pct,TestBalancedAccuracyPct
AdaBoostM2,38.150289017341,37.0110914141723,39.3447397160539,32.183908045977,21.043771043771,34.9767062660144
RUSBoost,35.8381502890173,35.5612196733692,35.0297294017716,36.7816091954023,26.5130023640662,36.1208168336051
RandomForest,27.1676300578035,24.2960381984772,33.3165317875911,31.0344827586207,16.5069165551093,33.7448559670782
SVM-ECOC,30.0578034682081,25.9614749810828,33.7886552229472,28.735632183908,17.0237764274462,31.4335352123612
BaggedTrees,31.2138728323699,29.7963079608013,36.498931235007,30.4597701149425,16.2698412698413,33.1159251494681
