Model,Threshold,ValidationBUY,ValidationHOLD,ValidationSELL,TestBUY,TestHOLD,TestSELL,ValidationBUYPct,ValidationHOLDPct,ValidationSELLPct,TestBUYPct,TestHOLDPct,TestSELLPct
AR5,0.0074,11,160,6,8,169,1,6.21468926553672,90.3954802259887,3.38983050847458,4.49438202247191,94.9438202247191,0.561797752808989
Ridge,0.0013,0,166,11,0,55,123,0,93.7853107344633,6.21468926553672,0,30.8988764044944,69.1011235955056
Bagged,0.001,40,6,131,4,2,172,22.5988700564972,3.38983050847458,74.0112994350282,2.24719101123596,1.12359550561798,96.6292134831461
RF,0.0024,30,33,114,0,2,176,16.9491525423729,18.6440677966102,64.406779661017,0,1.12359550561798,98.876404494382
LSBoost,0.0063,11,81,85,7,45,126,6.21468926553672,45.7627118644068,48.0225988700565,3.93258426966292,25.2808988764045,70.7865168539326
