Row,Sentiment,SampleSize,SentimentRegime,Return,ReturnLag1,ReturnLag2,ReturnLag3,ReturnLag5,ReturnLag7,Momentum3,Momentum5,Momentum7,Momentum14,Momentum30,SMA5,SMA10,SMA20,SMA50,EMA12,EMA26,EMA12Distance,EMA26Distance,SMA20Distance,SMA50Distance,RSI14,MACD,MACDSignal,MACDHistogram,Volatility5,Volatility10,Volatility20,Volatility30,ATR14,ATR14Normalized,DailyRange,VolumeChange,VolumeSMA20,VolumeRelative,SentimentLag1,SentimentLag3,SentimentLag7,SentimentMA3,SentimentMA7,SentimentMA14,SentimentChange,SentimentReturnInteraction,SentimentMomentumInteraction
Sentiment,0,-0.117627462763905,0.829342567272752,0.258198349912831,0.1479945907502,0.077434258174256,0.113718801445135,0.0568092514212439,0.0812098532776044,0.292589159329931,0.317307312726584,0.304232599503836,0.296565716319781,0.226310347154215,-0.0223380831303478,-0.0579060524247048,-0.099033629753295,-0.129812153861503,-0.0577958319971363,-0.0947207513616009,0.392260197839406,0.34844309403132,0.355852609266387,0.262021605036589,0.31695237893585,0.213506776251366,0.134399850732135,0.271262478713739,-0.286302510959902,-0.259499856711361,-0.22436912634261,-0.213605416746215,-0.171713892943231,-0.284909988368308,-0.387651239995219,-0.176788957386634,-0.24555047320331,-0.315860262913381,0.480439911320248,0.304238579555161,0.223021863246325,0.771894036425936,0.608476210560552,0.477260882249552,0.509266270273987,0.116175370041318,0.270052631765473
SampleSize,-0.117627462763905,0,-0.0928586224100697,0.00178270324164348,-0.0511173556326869,-0.0483775387170663,0.000719740226097662,-0.00371519236847549,-0.0136240904201622,-0.056997908075326,-0.0503348673516507,-0.0513953282763149,-0.0771276690820234,-0.0909275366006435,-0.19648306119294,-0.190833099922676,-0.176540266891204,-0.139526564118351,-0.189585962441029,-0.173763110651284,-0.068379442349179,-0.0832232014533641,-0.0742310118259632,-0.0881677994326614,-0.0530504231271343,-0.107306852842042,-0.104616193054456,-0.0274633390634301,-0.116519329352556,-0.109898695046783,-0.117393169200664,-0.125221435744328,-0.239847783213731,-0.117832578610423,-0.0741982858724794,-0.0131078003427663,-0.0460231586153692,0.0387397056053178,-0.101045049742523,-0.0480139089507757,-0.0388607265456347,-0.116243027809097,-0.108760567788248,-0.113906805710394,-0.016205253109418,-0.03850696331126,-0.0419048266741913
SentimentRegime,0.829342567272752,-0.0928586224100697,0,0.193705089580679,0.128017955531001,0.0645429537846581,0.0948039777111097,0.0630211292548401,0.0905650791452806,0.233557151922747,0.26315150489599,0.25883494769515,0.251910895437163,0.185465083293054,-0.0910734220369923,-0.123366913003504,-0.161112965057201,-0.180837323991399,-0.124254293211906,-0.156281035241559,0.323672000979005,0.290555333808337,0.302937761064576,0.216079289408779,0.282998347226371,0.179715207322776,0.10563307122893,0.250344526736854,-0.191665040266349,-0.179331512695002,-0.178038304113381,-0.198901737381494,-0.187413991966959,-0.236916045034648,-0.263997911920375,-0.138883137339313,-0.241586064861709,-0.190196504692564,0.415568164165999,0.261443462217169,0.238738769041078,0.660000618950421,0.539226205456103,0.434210011530194,0.405557780296424,0.119173753985972,0.251969468218314
Return,0.258198349912831,0.00178270324164348,0.193705089580679,0,-0.10797859556873,0.0938326684196167,0.0254730219093273,-0.0177076650215697,-0.0270087941892583,0.582181826066764,0.4569352283158,0.390162640449963,0.248332621699596,0.138179015155063,-0.0458779876938006,-0.0638699333791015,-0.0671104721558604,-0.0565587333015388,-0.0537219732906809,-0.0619724029906011,0.508755980544945,0.352459206358452,0.36287702809558,0.219551621302509,0.332128960801757,0.0446944569280328,-0.0167731560999593,0.188682173993517,-0.00371355462616658,0.0187270581183237,0.00584063569096429,0.00879773198864145,-0.015229166814612,-0.0762848401796192,-0.194391334247519,0.052450275038434,0.0224097893561107,-0.0191856249447585,-0.0274957199527426,-0.0102395621066148,-0.0621088930963906,0.0999588966167558,0.0401701216595938,-0.00697556203452017,0.280199192243284,-0.0613930461185787,0.403127808555954
ReturnLag1,0.1479945907502,-0.0511173556326869,0.128017955531001,-0.10797859556873,0,-0.104598161169302,0.0923811463407381,0.0358734915164952,0.0420931695226225,0.478241446935816,0.410562892287305,0.344975902310727,0.227425825024007,0.139473904758586,-0.0235980554635084,-0.0559235957538141,-0.0665767327398764,-0.0610106704121978,-0.0422226927379887,-0.0595367075212185,0.390182858080532,0.299384390315913,0.315240911615759,0.197285488867243,0.291217119710087,0.0989970494647605,0.0115274999106128,0.274950462976201,-0.0406810835260397,0.00606839940014133,-0.00286388733987478,0.00448778256014321,-0.0228393339741192,-0.0671510277184118,-0.100225267691204,0.00643127244057588,0.022927067915257,-0.0494581940625669,0.259664930696754,0.0035994867814849,0.00232017535453516,0.159446499549785,0.0683416266655074,0.00896405699051847,-0.109663734727696,0.94474799238743,0.305533574771929
ReturnLag2,0.077434258174256,-0.0483775387170663,0.0645429537846581,0.0938326684196167,-0.104598161169302,0,-0.105606335875896,0.0232329447593164,-0.0189915290015484,0.599128123539771,0.445132206787831,0.384725667330083,0.251544697134476,0.15707101095738,0.00184937320916115,-0.0437719823091711,-0.0621388446101631,-0.0623277322068445,-0.0290827689464175,-0.0539734919360871,0.380975932142439,0.312539382136318,0.331815789393496,0.214603039668408,0.293903575500287,0.144651576947738,0.0422929182503808,0.327003120643791,-0.0582600707707508,-0.00362036868551205,-0.013936232470146,0.00158642454128457,-0.0277022657329377,-0.0824066642652658,-0.0537581624322797,0.00479713936852343,0.0248597272146325,0.00195262719757999,0.149365745531827,-0.0311745764514463,-0.0389174933173,0.204935548611088,0.0921324003107405,0.0212851406614428,-0.070628798834783,-0.0989155196659792,0.365140375338774
ReturnLag3,0.113718801445135,0.000719740226097662,0.0948039777111097,0.0254730219093273,0.0923811463407381,-0.105606335875896,0,0.0893416589920017,0.0372702972183175,0.00884964691095703,0.414549952599269,0.384488002026207,0.261855911391174,0.164489501308709,0.0309894949800321,-0.026037912102994,-0.0523196203908467,-0.0569069879842741,-0.0123824471105521,-0.0425973650865189,0.337281646566484,0.298948708521034,0.322309184501576,0.215082553660985,0.278622595712021,0.177284213382716,0.0700427277464845,0.347292859634406,-0.0527995928211286,-0.0268943800603866,-0.00982733167890304,0.00276817792115091,-0.0297449436889193,-0.0906156574297117,-0.0609985244370965,0.04673120438174,0.0221342830081054,0.00635229708149365,0.0766173552740989,0.259834016476746,-0.0121877387308077,0.143707908586538,0.120443991907655,0.0421569119173881,0.0363423712510435,0.0906850944165555,0.389743163840403
ReturnLag5,0.0568092514212439,-0.00371519236847549,0.0630211292548401,-0.0177076650215697,0.0358734915164952,0.0232329447593164,0.0893416589920017,0,0.0874759094565161,0.0281687296901474,0.0154423061013573,0.350224463989567,0.27617503145192,0.174360053832423,0.0646434090875738,0.00741243074202339,-0.0354253716115569,-0.0491895729397454,0.0129017483085047,-0.0241991505964485,0.25395802155621,0.265706006686582,0.292205542700053,0.2117152023963,0.239703014217637,0.219761129285255,0.125214744391228,0.317749406306819,-0.086765324106597,-0.0603698346624093,-0.0155269196015324,-0.0190855780548454,-0.0281084492435259,-0.095053953621997,-0.0766602951068618,-0.0690994309707052,0.0138536312666732,-0.040127878083731,0.105486001275591,0.0767431113577668,0.00452381360849171,0.117045591500627,0.159521172056429,0.0731547059394476,-0.047797708481875,5.23665656681908e-05,0.338841572324006
ReturnLag7,0.0812098532776044,-0.0136240904201622,0.0905650791452806,-0.0270087941892583,0.0420931695226225,-0.0189915290015484,0.0372702972183175,0.0874759094565161,0,-0.00263118377235045,0.0272780679718172,0.0153961229462105,0.297548336835942,0.185492854634837,0.0731121747442306,0.0404074313231745,-0.0187052993456289,-0.0412825243701717,0.032459508286528,-0.00754793902586907,0.189743380926708,0.235073977167588,0.260691201923824,0.20655422128384,0.211168811548528,0.238346102756245,0.168775148733133,0.247782514863033,-0.0498623435271209,-0.0661461532802133,-0.00769472861849778,-0.0137899307494567,-0.0243691052838728,-0.0983779355657098,-0.0226698398515214,0.00752871665107861,0.0154185889955074,-0.00943197973264642,0.0658723128187673,0.106340676267951,0.263273964962716,0.0864802440050807,0.141769512135971,0.106449401879314,0.0150043434497866,0.035927764143893,0.00575988103170675
Momentum3,0.292589159329931,-0.056997908075326,0.233557151922747,0.582181826066764,0.478241446935816,0.599128123539771,0.00884964691095703,0.0281687296901474,-0.00263118377235045,0,0.790932105993344,0.676228606476747,0.438019199453859,0.26420999833138,-0.0400332071980462,-0.0983196465225232,-0.117920398712799,-0.109022962584823,-0.0750034652983597,-0.105737211774176,0.771976053963285,0.58228881967685,0.609324422141752,0.381743975964132,0.551059358508284,0.175723550726947,0.023765325457745,0.478344755808976,-0.0834508780336289,-0.00296450493917843,-0.0177877119438538,-0.000382963118835574,-0.0458707321096137,-0.144905838156025,-0.217391107245473,0.0411850244142908,0.0336165782635773,-0.0437696244210039,0.236500371077726,-0.0187982617173277,-0.0573611008373305,0.286037016497867,0.12740606374501,0.0208465146637651,0.0548727911937185,0.469532251317022,0.644590486365384
