Model,ValidationRMSE,TestRMSE,GeneralizationGap,GeneralizationGapPct
Linear Regression,0.0301960477835739,0.107869060852318,0.0776730130687441,257.229070590479
Ridge Regression,0.0295164646889178,0.0643128873947385,0.0347964227058207,117.888178928438
Bagged Trees,0.0298433273810668,0.0538289082363032,0.0239855808552364,80.3716708561571
SVR,0.029633956272141,0.0418612964022139,0.0122273401300729,41.2612477989241
LSTM,0.217619761824608,0.301839530467987,0.084219768643379,38.7004231312671
AR(5),0.0293005845952401,0.0423165234440759,0.0130159388488358,44.4221131715927
