Model,N,RMSE,MAE,R2,Bias,Correlation,DirectionalAccuracy,Threshold,TestReturn,TestSharpe,TestSortino,MaxDrawdown,FinalEquity,WinRate,ProfitFactor,Trades
AR5,178,0.0424733450759671,0.0307887261075449,-0.0734291060089447,-0.00930358836775529,-0.0074534202624507,0.50561797752809,0.0095,-0.178110210746746,-1.56369496016823,-0.729783812910834,-0.178110210746746,8218.89789253254,0.192307692307692,0.487716054482316,26
OriginalRidge,178,0.0431354958761266,0.0313473903067479,-0.107159076421562,-0.0138121268069078,0.0809743519534969,0.404494382022472,0.0013,-0.749496436780446,-3.57334989397549,-3.87643356166147,-0.765196051207403,2505.03563219554,0.4,0.532983507740147,17
ReducedRidge,178,0.0424383339765079,0.0307423892627602,-0.071660163930571,-0.0111798464888292,0.0685875450369159,0.443820224719101,NaN,0,NaN,NaN,0,10000,NaN,Inf,0
