Model,TestRMSE,TestMAE,TestR2,DirectionalAccuracy,Percentile,Threshold,StrategyReturn,Sharpe,MaxDrawdown,FinalEquity,Trades
AR5,0.0424733221450952,0.0307887422668216,-0.0734279469451298,0.50561797752809,20,0.000860424789192866,0.114028076358814,0.664639131706845,-0.516858922862911,11140.2807635881,128
OriginalRidge,0.0726380703487946,0.0546249365636751,-2.13956176798378,0.432584269662921,15,0.00198191023953433,-0.798954273920759,-3.70535281088507,-0.828683413767899,2010.45726079241,20
ReducedRidge,0.0804999038998975,0.0632935904914805,-2.85594791213748,0.421348314606742,25,0.0028387634821546,-0.801051040901319,-3.78140239508947,-0.820888748107302,1989.48959098682,19
BuyHold,NaN,NaN,NaN,NaN,NaN,NaN,4.43546251077888,4.82427459808247,-0.251748461971953,54354.6251077888,1
