Model,Validation_RMSE,Test_RMSE,Test_MAE,Directional_Accuracy,Classification_Accuracy,Macro_F1,Balanced_Accuracy,Strategy_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Trades,Final_Capital
AR(5),0.0290715008575216,0.0425174792315254,0.0308685846598434,0.48876404494382,NaN,NaN,NaN,-0.00952178992661212,-0.0582659643023543,-0.071520487524559,0.4,18,9904.78210073388
AdaBoostM2,NaN,NaN,NaN,0.820224719101124,0.308988764044944,0.278486473498542,0.28243234908922,0.138009711180566,0.721166645252369,-0.423365247857202,0.461538461538462,80,11380.0971118057
