Model,ValidationRMSE,ValidationMAE,ValidationR2,TestRMSE,TestMAE,TestR2,DirectionalAccuracy,Accuracy,MacroF1,BalancedAccuracy,StrategyReturn,Sharpe,MaxDrawdown,WinRate,Trades,FinalCapital
AR5,0.0291267085759555,0.0190667775178294,0.000676467611208542,0.0425174792315254,0.0308685846598434,-0.0756610705853409,0.48876404494382,NaN,NaN,NaN,-0.00952178992661212,-0.0582659643023543,-0.071520487524559,0.4,18,9904.78210073388
LSBoost,0.0462899613866444,0.0331907764556174,-1.52404405208325,0.0630033878871502,0.048472769689362,-1.36193663126154,0.443820224719101,NaN,NaN,NaN,-0.616309062608113,-2.14879440828531,-0.688799385168109,0.437086092715232,98,3836.90937391887
Bagged Regression,0.0295170879573536,0.0200984089099626,-0.0262905080493838,0.0421897409800911,0.0307756305738116,-0.0591419091610594,0.567415730337079,NaN,NaN,NaN,0.162646005233089,1.39731715701585,-0.140014287384519,0.6,21,11626.4600523309
AdaBoostM2,NaN,NaN,NaN,NaN,NaN,NaN,0.410112359550562,0.342696629213483,0.312053522039416,0.338680829914056,-0.307097635551639,-0.55399509288257,-0.411409629119818,0.464516129032258,69,6929.02364448361
Random Forest,NaN,NaN,NaN,NaN,NaN,NaN,0.382022471910112,0.376404494382022,0.368121607344056,0.397846127055648,-0.100577786872293,0.0796752942457162,-0.508406276408564,0.477941176470588,51,8994.22213127707
RUSBoost,NaN,NaN,NaN,NaN,NaN,NaN,0.342696629213483,0.342696629213483,0.339591630240222,0.351982455567528,-0.414040544519207,-1.10969672539823,-0.50869956981953,0.475409836065574,88,5859.59455480793
