Model,Type,ValidationRMSE,ValidationMAE,ValidationR2,ValidationDirectionalAccuracyPct,ValidationAccuracyPct,ValidationMacroF1Pct,ValidationBalancedAccuracyPct,TestRMSE,TestMAE,TestR2,TestDirectionalAccuracyPct,TestAccuracyPct,TestMacroF1Pct,TestBalancedAccuracyPct,StrategyReturnPct,SharpeRatio,MaxDrawdownPct,WinRatePct,NumberOfTrades,FinalCapital
AR(5),Regression,0.0288962591054247,0.019026869519226,-0.00220399344322852,57.2254335260116,NaN,NaN,NaN,0.0426963860721672,0.0309480731461844,-0.0639487636562652,52.2988505747126,NaN,NaN,NaN,1.85626995658288,0.373317250025225,-6.79836204039218,40,8,10185.6269956583
LSBoost,Regression,0.0535719591078551,0.0426495534164941,-2.44467252053407,47.3988439306358,NaN,NaN,NaN,0.0886378049618272,0.0701387246473503,-3.58539196668042,40.8045977011494,NaN,NaN,NaN,-82.5459544847061,-4.98719100319114,-84.373628149004,37.5,79,1745.40455152939
Bagged Regression,Regression,0.0345310782073823,0.0252661062530952,-0.431176384332574,48.5549132947977,NaN,NaN,NaN,0.0769770741684072,0.0662560359151214,-2.45828897727083,40.8045977011494,NaN,NaN,NaN,-85.7311142448249,-4.71527115886936,-86.276435026551,41.5204678362573,1,1426.88857551751
AdaBoostM2,Classification,NaN,NaN,NaN,NaN,38.150289017341,37.0110914141723,39.3447397160539,NaN,NaN,NaN,39.6551724137931,32.183908045977,21.043771043771,34.9767062660144,-84.8440733181733,-4.55114358607905,-85.1827017832192,40.5882352941176,17,1515.59266818267
RUSBoost,Classification,NaN,NaN,NaN,NaN,35.8381502890173,35.5330222929922,35.0297294017716,NaN,NaN,NaN,51.7241379310345,40.2298850574713,29.9242424242424,38.1551362683438,-24.247317927507,-0.29960013833333,-47.6543664277096,51.7241379310345,35,7575.2682072493
Random Forest,Classification,NaN,NaN,NaN,NaN,28.9017341040462,27.3961326211765,34.1933857914928,NaN,NaN,NaN,40.8045977011494,31.0344827586207,16.5069165551093,33.7448559670782,-84.4688484309535,-4.47494327974,-84.451070215082,40.8045977011494,5,1553.11515690465
SVM-ECOC,Classification,NaN,NaN,NaN,NaN,30.0578034682081,25.9614749810828,33.7886552229472,NaN,NaN,NaN,38.5057471264368,28.735632183908,17.0237764274462,31.4335352123612,-90.3650527116045,-5.82322426686139,-90.3540237694142,38.3720930232558,13,963.494728839553
