Lambda,ValidationRMSE,ValidationMAE,ValidationR2,ValidationDirectionalAccuracy
1e-06,0.0310373714104146,0.0217273134623564,-0.128357701667388,46.8926553672316
3.16227766016838e-06,0.0310552401784003,0.0217640787205194,-0.129657306948062,46.8926553672316
1e-05,0.0310622243771683,0.0217776303933361,-0.13016547486515,46.8926553672316
3.16227766016838e-05,0.0310113567367397,0.0217689542801686,-0.126466977404032,46.8926553672316
0.0001,0.0309909652812234,0.021814728320824,-0.124986052243778,46.8926553672316
0.000316227766016838,0.0309483292449715,0.0219002138974862,-0.121892766725427,44.6327683615819
0.001,0.0309442158254038,0.0219826640085399,-0.121594559417393,45.7627118644068
0.00316227766016838,0.0309574335845053,0.0220005696509111,-0.122552937746117,48.5875706214689
0.01,0.0309035480439358,0.0219151390313535,-0.118648432755728,49.7175141242938
0.0316227766016838,0.0306997345313964,0.0216421098879541,-0.103941782676168,49.1525423728814
0.1,0.0304040359855992,0.0212704635791676,-0.0827779592365969,49.1525423728814
0.316227766016838,0.0300791353642873,0.0208909543120529,-0.0597602538208504,49.7175141242938
1,0.0297398234275511,0.0204935951024563,-0.0359855607725859,50.8474576271186
3.16227766016838,0.0294673857527328,0.0201596163838621,-0.0170917880633017,50.2824858757062
10,0.0293340158251605,0.0199026593706937,-0.00790587090877315,51.4124293785311
31.6227766016838,0.0293146507705643,0.019822043636304,-0.00657555801794518,50.8474576271186
100,0.0293241552725835,0.0198214500069159,-0.00722837496071804,55.3672316384181
