Model,Threshold,ValidationRMSE,ValidationMAE,ValidationR2,ValidationDirectionalPct,ValidationSharpe,ValidationReturn,ValidationMaxDD,ValidationTrades,TestRMSE,TestMAE,TestMSE,TestR2,TestDirectionalPct,TestPredictionCorrelation,TestFinalCapital,TestReturn,TestSharpe,TestSortino,TestMaxDD,TestWinRate,TestProfitFactor,TestTrades,TestBUY,TestHOLD,TestSELL
AR5,0.0074,0.0293397870802408,0.0197098052425205,-0.00830250627757501,54.8022598870056,2.34808572165272,0.063807645822731,-0.00100000000000011,6,0.0421222922057564,0.0306599931012143,0.00177428750066712,-0.0557581140437198,51.685393258427,-0.0216097581624041,10030.2671560428,0.00302671560427692,0.116082117587539,0.0488321008431013,-0.0711445954037783,0.444444444444444,1.06729013740447,16,8,169,1
Ridge,0.0013,0.0293146535674902,0.0198220509826918,-0.00657575009373623,50.8474576271186,2.76089228305307,0.139616352507151,-0.0137603923047859,21,0.0431910194273159,0.0313991817047648,0.00186546415917078,-0.110011157583975,40.4494382022472,0.0804300835564515,2587.1199380575,-0.74128800619425,-3.46785481782681,-2.7055920870682,-0.760144920937981,0.430894308943089,0.548448964719217,19,0,55,123
BaggedRegression,0.001,0.0352276817159437,0.0270173086994443,-0.453600483174887,49.1525423728814,1.72818888304269,0.480611551479331,-0.169357630377313,30,0.0499632135546431,0.0374253969420847,0.00249632270870687,-0.485392279434947,40.4494382022472,-0.0376881606304547,1323.03106511785,-0.867696893488215,-4.85391788569375,-4.30502456430849,-0.871267204325403,0.397727272727273,0.489868048203913,6,4,2,172
RandomForest,0.0024,0.0343704566263086,0.0258826300837577,-0.383717823151655,49.7175141242938,1.825709256036,0.446045340061471,-0.183410387630878,38,0.0533042745814864,0.0407454116263726,0.0028413456886585,-0.690692046512447,39.8876404494382,0.0411065701332482,1337.13797032919,-0.866286202967081,-4.82527873957935,-4.28254613705209,-0.871371910524993,0.397727272727273,0.491718595658295,3,0,2,176
LSBoost,0.0063,0.0371773995273953,0.027468517239817,-0.618955636895814,48.5875706214689,0.811437077361154,0.121929982109327,-0.162837188828272,65,0.0506878462596118,0.0377341686584859,0.00256925775843804,-0.528790979207627,41.0112359550562,-0.00537935460043714,2652.47651322563,-0.734752348677437,-3.57076107368184,-3.50738243856896,-0.746168196131399,0.368421052631579,0.564129035964902,61,7,45,126
Buy & Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54354.6251077887,4.43546251077887,4.82427459808247,5.64692950483064,-0.251748461971953,0.595505617977528,2.0274007342429,1,178,0,0
