Date,Open,High,Low,Close,Volume,NumberOfTrades,Sentiment,SampleSize,SentimentClass,SentimentRegime,Return,LogReturn,ReturnLag1,ReturnLag2,ReturnLag3,ReturnLag5,ReturnLag7,Momentum3,Momentum5,Momentum7,Momentum14,Momentum30,SMA5,SMA10,SMA20,SMA50,EMA12,EMA26,EMA12Distance,EMA26Distance,SMA20Distance,SMA50Distance,RSI14,MACD,MACDSignal,MACDHistogram,Volatility5,Volatility10,Volatility20,Volatility30,ATR14,ATR14Normalized,DailyRange,VolumeChange,VolumeSMA20,VolumeRelative,SentimentLag1,SentimentLag3,SentimentLag7,SentimentMA3,SentimentMA7,SentimentMA14,SentimentChange,SentimentReturnInteraction,SentimentMomentumInteraction,TargetReturn1D,TargetDirection
01-Jan-2018,13715.65,13818.55,12750,13380,8609.915844,105595,0.250099480103979,5001,Positive,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13380,13380,13380,13380,13380,13380,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,1068.55,0.0798617339312406,0.0798617339312406,NaN,8609.915844,1,NaN,NaN,NaN,0.250099480103979,0.250099480103979,0.250099480103979,NaN,NaN,NaN,0.0967944693572498,1
02-Jan-2018,13382.16,15473.49,12890.02,14675.11,20078.092111,177728,0.228491490658002,4924,Neutral,0,0.0967944693572498,0.0923918067270412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14027.555,14027.555,14027.555,14027.555,13579.2476923077,13475.9340740741,0.0807012533038254,0.088986479106705,0.0461630697580584,0.0461630697580584,NaN,103.313618233618,20.6627236467237,82.6508945868947,NaN,NaN,NaN,NaN,1826.01,0.124429050276284,0.176044336294583,1.33197309646085,14344.0039775,1.39975505740897,0.250099480103979,NaN,NaN,0.23929548538099,0.23929548538099,0.23929548538099,-0.021607989445977,NaN,NaN,0.0166540489304681,1
03-Jan-2018,14690,15307.56,14150,14919.51,15905.667639,162787,0.217473154941735,4634,Neutral,0,0.0166540489304681,0.0165168909861307,0.0967944693572498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14324.8733333333,14324.8733333333,14324.8733333333,14324.8733333333,13785.4418934911,13582.8656241427,0.0822656332144371,0.0984066553291627,0.0415107800836865,0.0415107800836865,NaN,202.576269348463,57.0454327870715,145.530836561391,0.0566678347309183,0.0566678347309183,0.0566678347309183,0.0566678347309183,1603.19333333333,0.107456165338763,0.077586998500621,-0.207809808269287,14864.5585313333,1.07003969243164,0.228491490658002,NaN,NaN,0.232021375234572,0.232021375234572,0.232021375234572,-0.011018335716267,0.0221167125908883,NaN,0.0093856969833459,1
04-Jan-2018,14919.51,15280,13918.04,15059.54,21329.649574,170310,0.186253570100409,5378,Negative,-1,0.0093856969833459,0.00934192500328923,0.0166540489304681,0.0967944693572498,NaN,NaN,NaN,0.125526158445441,NaN,NaN,NaN,NaN,14508.54,14508.54,14508.54,14508.54,13981.4569868002,13692.2489112432,0.0771080592113991,0.0998587666365065,0.0379776324840404,0.0379776324840404,NaN,289.208075556979,103.477961341053,185.730114215926,0.0485036242874721,0.0485036242874721,0.0485036242874721,0.0485036242874721,1542.885,0.102452332541366,0.0904383533627189,0.341009384711437,16480.831292,1.29420956965646,0.217473154941735,0.250099480103979,NaN,0.210739405233382,0.220579423951031,0.220579423951031,-0.031219584841326,0.00362180856346292,NaN,0.126222314891424,1
05-Jan-2018,15059.56,17176.24,14600,16960.39,23251.491125,192969,0.223695170984456,4825,Neutral,0,0.126222314891424,0.118868947965845,0.0093856969833459,0.0166540489304681,0.0967944693572498,NaN,NaN,0.155724897462438,NaN,NaN,NaN,NaN,14998.91,14998.91,14998.91,14998.91,14439.7543734463,13934.3334363363,0.174562223245913,0.217165505439443,0.130774836304771,0.130774836304771,NaN,505.420937110008,183.866556494844,321.554380615164,0.0581933613745258,0.0581933613745258,0.0581933613745258,0.0581933613745258,1749.556,0.103155410930999,0.151897450471363,0.0901018811552652,17834.9632586,1.30370277683573,0.186253570100409,0.228491490658002,NaN,0.209140632008867,0.221202573357716,0.221202573357716,0.037441600884047,0.00174811957102881,NaN,0.00645032337110174,1
06-Jan-2018,16960.39,17143.13,16011.21,17069.79,18571.457508,158242,0.265162197717161,5169,Positive,1,0.00645032337110174,0.0064296090635771,0.126222314891424,0.0093856969833459,0.0166540489304681,NaN,NaN,0.144125376771757,0.275769058295964,NaN,NaN,NaN,15736.868,15344.0566666667,15344.0566666667,15344.0566666667,14844.37523907,14166.5894780892,0.149916363948603,0.204932918145266,0.112469171016704,0.112469171016704,NaN,677.785760980785,282.650397392032,395.135363588753,0.0562395478275914,0.0562395478275914,0.0562395478275914,0.0562395478275914,1646.61666666667,0.0964637916849983,0.0663113020136746,-0.201278859572495,17957.7123001667,1.03417724917152,0.223695170984456,0.217473154941735,NaN,0.225036979600675,0.228529177417624,0.228529177417624,0.041467026732705,0.028235322311691,NaN,-0.0538823266132741,0
07-Jan-2018,17069.79,17099.96,15610,16150.03,12493.125558,120269,0.245769784026079,4908,Positive,1,-0.0538823266132741,-0.0553883271938859,0.00645032337110174,0.126222314891424,0.0093856969833459,0.0967944693572498,NaN,0.0724119063397686,0.100504868447323,NaN,NaN,NaN,16031.852,15459.1957142857,15459.1957142857,15459.1957142857,15045.24520229,14313.5109982307,0.0734308270058559,0.128306674860997,0.0446875955568564,0.0446875955568564,NaN,731.73420405925,372.467158725476,359.267045333774,0.0652774176674208,0.0660850878971762,0.0660850878971762,0.0660850878971762,1624.23714285714,0.10057177248941,0.092257413763318,-0.32729428734291,17177.0570512857,0.727314668671074,0.265162197717161,0.186253570100409,NaN,0.244875717575899,0.230992121218832,0.230992121218832,-0.019392413691082,0.0017103819210677,NaN,-0.0772438193613263,0
08-Jan-2018,16218.85,16322.3,12812,14902.54,26600.609912,208642,0.208523362696285,5222,Negative,-1,-0.0772438193613263,-0.0803902390303335,-0.0538823266132741,0.00645032337110174,0.126222314891424,0.0166540489304681,NaN,-0.121332705203123,-0.00113743681930567,0.113792227204783,NaN,NaN,16028.458,15389.61375,15389.61375,15389.61375,15023.2905557838,14357.1427761395,-0.00803755710744236,0.0379878665528675,-0.0316495110216785,-0.0316495110216785,NaN,666.147779644267,431.203282909234,234.944496735033,0.0789109956760415,0.0734485421817404,0.0734485421817404,0.0734485421817404,1859.995,0.124810602756309,0.235550449789096,1.12921976878446,18355.001158875,1.44922954140693,0.245769784026079,0.223695170984456,0.250099480103979,0.239818448146508,0.225052675874875,0.228183526403513,-0.037246421329794,-0.013242647774567,0.0279666911039661,-0.033721768235482,0
09-Jan-2018,14902.54,15500,14011.05,14400,14315.004253,156656,0.195042815249265,5115,Negative,-1,-0.033721768235482,-0.0343034616397912,-0.0772438193613263,-0.0538823266132741,0.00645032337110174,0.0093856969833459,0.0967944693572498,-0.156404384588211,-0.0437954944174922,-0.0187467078611336,NaN,NaN,15896.55,15279.6566666667,15279.6566666667,15279.6566666667,14927.3997010478,14360.3173853144,-0.0353309827304229,0.00276335220321711,-0.0575704471544627,-0.0575704471544627,NaN,567.082315733447,458.379089474077,108.70322625937,0.0802709476949688,0.0703947922117408,0.0703947922117408,0.0703947922117408,1818.76777777778,0.126303317901235,0.103399305555556,-0.461854284531188,17906.1126137778,0.799447907078691,0.208523362696285,0.265162197717161,0.228491490658002,0.21644532065721,0.220274293673627,0.224501225164152,-0.01348054744702,-0.0161071409607282,-0.00390912656268847,0.0352145833333333,1
10-Jan-2018,14401,14955.66,13131.31,14907.09,17411.001655,161476,0.186822627876021,5259,Negative,-1,0.0352145833333333,0.0346087321201919,-0.033721768235482,-0.0772438193613263,-0.0538823266132741,0.126222314891424,0.0166540489304681,-0.0769620861385397,-0.12106443307023,-0.000832467018018646,NaN,NaN,15485.89,15242.4,15242.4,15242.4,14924.2751316559,14400.8190604763,-0.00115148853155456,0.0351557045052522,-0.0219985041725712,-0.0219985041725712,NaN,523.456071179575,471.394485815176,52.0615853643985,0.0454255800376206,0.0663277602810513,0.0663277602810513,0.0663277602810513,1819.326,0.122044342658426,0.122381363498845,0.216276387158681,17856.6015179,0.975045651186576,0.195042815249265,0.245769784026079,0.217473154941735,0.19679626860719,0.215895646949954,0.220733365435339,-0.00822018737324401,-0.00657718861183165,-0.000162366710796517,-0.111913861122459,0
